# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
NA_peak_1	OR4F5 (-26466)
NA_peak_478	NFIA (+211439), TM2D1 (+432122)
NA_peak_479	NFIA (+217391), TM2D1 (+426170)
NA_peak_480	NFIA (+257236), TM2D1 (+386325)
NA_peak_481	NFIA (+263081), TM2D1 (+380480)
NA_peak_482	TM2D1 (+320166), NFIA (+323395)
NA_peak_483	TM2D1 (+306555), NFIA (+337006)
NA_peak_484	TM2D1 (+285867), NFIA (+357694)
NA_peak_485	TM2D1 (+272654), NFIA (+370907)
NA_peak_486	TM2D1 (+272072), NFIA (+371489)
NA_peak_487	TM2D1 (+222853), NFIA (+420708)
NA_peak_488	TM2D1 (+204638), NFIA (+438923)
NA_peak_489	TM2D1 (+201244), NFIA (+442317)
NA_peak_490	TM2D1 (+138965), NFIA (+504596)
NA_peak_491	TM2D1 (+60352), NFIA (+583209)
NA_peak_492	TM2D1 (+48238), NFIA (+595323)
NA_peak_493	TM2D1 (-74)
NA_peak_494	INADL (+7653), KANK4 (+569283)
NA_peak_495	INADL (+10752), KANK4 (+566184)
NA_peak_496	INADL (+199535), KANK4 (+377401)
NA_peak_497	INADL (+225106), KANK4 (+351830)
NA_peak_498	INADL (+236497), KANK4 (+340439)
NA_peak_499	KANK4 (+148256), INADL (+428680)
NA_peak_500	KANK4 (-87946), USP1 (-29295)
NA_peak_501	ANGPTL3 (-50067), USP1 (+110765)
NA_peak_502	ANGPTL3 (-32748), USP1 (+128084)
NA_peak_503	ANGPTL3 (+4281), DOCK7 (+86514)
NA_peak_504	ANGPTL3 (+36169), DOCK7 (+54626)
NA_peak_505	DOCK7 (-1431)
NA_peak_506	ATG4C (-60284), DOCK7 (-35569)
NA_peak_507	ATG4C (-50017), DOCK7 (-45836)
NA_peak_508	DOCK7 (-78021), ATG4C (-17832)
NA_peak_509	FOXD3 (-419015), ATG4C (+119909)
NA_peak_510	FOXD3 (-344275), ATG4C (+194649)
NA_peak_511	FOXD3 (-301230), ATG4C (+237694)
NA_peak_512	FOXD3 (-272753), ATG4C (+266171)
NA_peak_513	FOXD3 (-188045), ATG4C (+350879)
NA_peak_514	FOXD3 (-47760), ATG4C (+491164)
NA_peak_515	FOXD3 (-5647), ATG4C (+533277)
NA_peak_516	FOXD3 (-3210)
NA_peak_517	ALG6 (+19528), ITGB3BP (+136076)
NA_peak_518	ALG6 (+34627), ITGB3BP (+120977)
NA_peak_519	ITGB3BP (+73997), ALG6 (+81607)
NA_peak_520	PGM1 (-88478), EFCAB7 (+11225)
NA_peak_521	PGM1 (-37661), EFCAB7 (+62042)
NA_peak_522	ROR1 (-132920), PGM1 (+18030)
NA_peak_523	ROR1 (-99327), PGM1 (+51623)
NA_peak_524	ROR1 (-1785)
NA_peak_525	UBE2U (-427540), ROR1 (+2236)
NA_peak_526	UBE2U (-408033), ROR1 (+21743)
NA_peak_527	UBE2U (-368820), ROR1 (+60956)
NA_peak_528	UBE2U (-355117), ROR1 (+74659)
NA_peak_529	UBE2U (-328094), ROR1 (+101682)
NA_peak_530	UBE2U (-151522), ROR1 (+278254)
NA_peak_531	UBE2U (-105735), ROR1 (+324041)
NA_peak_532	UBE2U (-56354), ROR1 (+373422)
NA_peak_533	UBE2U (-9315), ROR1 (+420461)
NA_peak_534	CACHD1 (-236058), UBE2U (+30927)
NA_peak_535	CACHD1 (-227121), UBE2U (+39864)
NA_peak_536	CACHD1 (-215170), UBE2U (+51815)
NA_peak_537	CACHD1 (-202894), UBE2U (+64091)
NA_peak_538	CACHD1 (-43660), UBE2U (+223325)
NA_peak_539	RAVER2 (-156694), CACHD1 (+117609)
NA_peak_540	RAVER2 (+20954), JAK1 (+200455)
NA_peak_541	RAVER2 (+51612), JAK1 (+169797)
NA_peak_542	RAVER2 (+70323), JAK1 (+151086)
NA_peak_543	JAK1 (+67490), RAVER2 (+153919)
NA_peak_544	JAK1 (+14102), RAVER2 (+207307)
NA_peak_545	AK4 (-145044), JAK1 (-36282)
NA_peak_546	JAK1 (-104617), AK4 (-76709)
NA_peak_547	JAK1 (-174081), AK4 (-7245)
NA_peak_548	AK4 (-4028)
NA_peak_549	AK4 (-1063)
NA_peak_550	DNAJC6 (-140196), AK4 (+21519)
NA_peak_551	DNAJC6 (-135320), AK4 (+26395)
NA_peak_552	DNAJC6 (-66887), AK4 (+94828)
NA_peak_553	DNAJC6 (-43086), AK4 (+118629)
NA_peak_554	DNAJC6 (-19106), AK4 (+142609)
NA_peak_555	PDE4B (-342806), LEPR (+29056)
NA_peak_556	PDE4B (-318483), LEPR (+53379)
NA_peak_557	PDE4B (-309283), LEPR (+62579)
NA_peak_558	PDE4B (-269779), LEPR (+102083)
NA_peak_559	PDE4B (-177036), LEPR (+194826)
NA_peak_560	PDE4B (-71320), LEPR (+300542)
NA_peak_561	PDE4B (-28349), LEPR (+343513)
NA_peak_562	PDE4B (-18640), LEPR (+353222)
NA_peak_563	SGIP1 (-716249), PDE4B (+25519)
NA_peak_564	SGIP1 (-681725), PDE4B (+60043)
NA_peak_565	SGIP1 (-554529), PDE4B (+187239)
NA_peak_566	SGIP1 (-463560), PDE4B (+278208)
NA_peak_567	SGIP1 (-362655), PDE4B (+379113)
NA_peak_568	SGIP1 (-356514), PDE4B (+385254)
NA_peak_569	SGIP1 (-231889), PDE4B (+509879)
NA_peak_570	SGIP1 (-180052), PDE4B (+561716)
NA_peak_571	SGIP1 (-76540), PDE4B (+665228)
NA_peak_572	SGIP1 (-8292), PDE4B (+733476)
NA_peak_573	SGIP1 (-709)
NA_peak_574	SGIP1 (+5844), INSL5 (+261130)
NA_peak_575	INSL5 (+113923), SGIP1 (+153051)
NA_peak_576	SLC35D1 (+19713), MIER1 (+109427)
NA_peak_577	SLC35D1 (-56339), IL23R (-55962)
NA_peak_578	IL12RB2 (-83358), IL23R (+57606)
NA_peak_579	IL12RB2 (+14417), SERBP1 (+108605)
NA_peak_580	SERBP1 (+23736), IL12RB2 (+99286)
NA_peak_581	SERBP1 (+1446), IL12RB2 (+121576)
NA_peak_582	GADD45A (-208749), SERBP1 (-45926)
NA_peak_583	SERBP1 (-149492), GADD45A (-105183)
NA_peak_584	SERBP1 (-205659), GADD45A (-49016)
NA_peak_585	SERBP1 (-222199), GADD45A (-32476)
NA_peak_586	GADD45A (+2662), GNG12 (+145744)
NA_peak_587	GNG12 (+25887), GADD45A (+122519)
NA_peak_588	GNG12 (+3726), GADD45A (+144680)
NA_peak_589	GNG12 (-85935), DIRAS3 (+132229)
NA_peak_590	GNG12 (-194553), DIRAS3 (+23611)
NA_peak_591	DIRAS3 (-144296), WLS (+36618)
NA_peak_592	DIRAS3 (-154744), WLS (+26170)
NA_peak_593	DIRAS3 (-165640), WLS (+15274)
NA_peak_594	DIRAS3 (-170847), WLS (+10067)
NA_peak_595	DIRAS3 (-178876), WLS (+2038)
NA_peak_596	WLS (-22303), RPE65 (+195111)
NA_peak_597	WLS (-137964), RPE65 (+79450)
NA_peak_598	WLS (-198665), RPE65 (+18749)
NA_peak_599	RPE65 (-32182), DEPDC1 (+14973)
NA_peak_600	DEPDC1 (-61171)
NA_peak_601	DEPDC1 (-206969)
NA_peak_602	DEPDC1 (-233789)
NA_peak_603	LRRC7 (-748151), DEPDC1 (-514910)
NA_peak_604	LRRC7 (-735255), DEPDC1 (-527806)
NA_peak_605	LRRC7 (-691206), DEPDC1 (-571855)
NA_peak_606	LRRC7 (-671521), DEPDC1 (-591540)
NA_peak_607	DEPDC1 (-686572), LRRC7 (-576489)
NA_peak_608	DEPDC1 (-734044), LRRC7 (-529017)
NA_peak_609	DEPDC1 (-786605), LRRC7 (-476456)
NA_peak_610	DEPDC1 (-789758), LRRC7 (-473303)
NA_peak_611	DEPDC1 (-798133), LRRC7 (-464928)
NA_peak_612	DEPDC1 (-832446), LRRC7 (-430615)
NA_peak_613	DEPDC1 (-840566), LRRC7 (-422495)
NA_peak_614	DEPDC1 (-852739), LRRC7 (-410322)
NA_peak_615	DEPDC1 (-873815), LRRC7 (-389246)
NA_peak_616	DEPDC1 (-915511), LRRC7 (-347550)
NA_peak_617	DEPDC1 (-916019), LRRC7 (-347042)
NA_peak_618	DEPDC1 (-994881), LRRC7 (-268180)
NA_peak_619	LRRC7 (-187642)
NA_peak_620	LRRC7 (-179003)
NA_peak_621	LRRC7 (-119263)
NA_peak_622	LRRC7 (-114328)
NA_peak_623	LRRC7 (-27277)
NA_peak_624	SRSF11 (-428941), LRRC7 (+16608)
NA_peak_625	SRSF11 (-245044), LRRC7 (+200505)
NA_peak_626	SRSF11 (-244326), LRRC7 (+201223)
NA_peak_627	SRSF11 (-191131), LRRC7 (+254418)
NA_peak_628	SRSF11 (-186896), LRRC7 (+258653)
NA_peak_629	SRSF11 (-143205), LRRC7 (+302344)
NA_peak_630	SRSF11 (-80981), LRRC7 (+364568)
NA_peak_631	SRSF11 (-68384), LRRC7 (+377165)
NA_peak_632	SRSF11 (-64185), LRRC7 (+381364)
NA_peak_633	SRSF11 (-57281), LRRC7 (+388268)
NA_peak_634	SRSF11 (-36747), LRRC7 (+408802)
NA_peak_635	SRSF11 (-11919), LRRC7 (+433630)
NA_peak_636	SRSF11 (+68835), ANKRD13C (+80163)
NA_peak_637	ANKRD13C (+37441), SRSF11 (+111557)
NA_peak_638	ANKRD13C (+28416), SRSF11 (+120582)
NA_peak_639	ANKRD13C (+21369), SRSF11 (+127629)
NA_peak_640	CTH (-49277), HHLA3 (+7159)
NA_peak_641	CTH (+25106), PTGER3 (+611410)
NA_peak_642	CTH (+26511), PTGER3 (+610005)
NA_peak_643	CTH (+84241), PTGER3 (+552275)
NA_peak_644	CTH (+104091), PTGER3 (+532425)
NA_peak_645	CTH (+253076), PTGER3 (+383440)
NA_peak_646	CTH (+256180), PTGER3 (+380336)
NA_peak_647	CTH (+256495), PTGER3 (+380021)
NA_peak_648	PTGER3 (+255589), CTH (+380927)
NA_peak_649	PTGER3 (+44404), CTH (+592112)
NA_peak_650	PTGER3 (+13463), CTH (+623053)
NA_peak_651	ZRANB2 (-161694)
NA_peak_652	ZRANB2 (-168499)
NA_peak_653	ZRANB2 (-177695)
NA_peak_654	ZRANB2 (-180017)
NA_peak_655	ZRANB2 (-198988)
NA_peak_656	ZRANB2 (-230455), NEGR1 (+970982)
NA_peak_657	ZRANB2 (-387796), NEGR1 (+813641)
NA_peak_658	ZRANB2 (-391184), NEGR1 (+810253)
NA_peak_659	ZRANB2 (-430316), NEGR1 (+771121)
NA_peak_660	ZRANB2 (-561312), NEGR1 (+640125)
NA_peak_661	ZRANB2 (-591094), NEGR1 (+610343)
NA_peak_662	ZRANB2 (-654901), NEGR1 (+546536)
NA_peak_663	ZRANB2 (-659604), NEGR1 (+541833)
NA_peak_664	ZRANB2 (-733820), NEGR1 (+467617)
NA_peak_665	ZRANB2 (-746133), NEGR1 (+455304)
NA_peak_666	ZRANB2 (-747562), NEGR1 (+453875)
NA_peak_667	ZRANB2 (-824224), NEGR1 (+377213)
NA_peak_668	ZRANB2 (-837581), NEGR1 (+363856)
NA_peak_669	ZRANB2 (-921431), NEGR1 (+280006)
NA_peak_670	ZRANB2 (-921999), NEGR1 (+279438)
NA_peak_671	NEGR1 (-1558)
NA_peak_672	NEGR1 (-192162)
NA_peak_673	NEGR1 (-226742)
NA_peak_674	NEGR1 (-251027)
NA_peak_675	NEGR1 (-260760)
NA_peak_676	NEGR1 (-419158)
NA_peak_677	NEGR1 (-481888)
NA_peak_678	NEGR1 (-862309)
NA_peak_679	NEGR1 (-977024), FPGT (-938485)
NA_peak_680	NEGR1 (-985321), FPGT (-930188)
NA_peak_681	FPGT (-831763)
NA_peak_682	FPGT (-800856)
NA_peak_683	FPGT (-774456)
NA_peak_684	FPGT (-766003)
NA_peak_685	FPGT (-684313)
NA_peak_686	FPGT (-659705)
NA_peak_687	FPGT (-604785)
NA_peak_688	FPGT (-439352)
NA_peak_689	FPGT (-388774)
NA_peak_690	FPGT (-304013)
NA_peak_691	FPGT (-272730)
NA_peak_692	FPGT (-200422)
NA_peak_693	FPGT (-176800)
NA_peak_694	FPGT (-130249)
NA_peak_695	FPGT (-17931)
NA_peak_696	TNNI3K (+2827), LRRC53 (+311524)
NA_peak_697	TNNI3K (+4377), LRRC53 (+309974)
NA_peak_698	TNNI3K (+73258), LRRC53 (+241093)
NA_peak_699	TNNI3K (+75345), LRRC53 (+239006)
NA_peak_700	TNNI3K (+77821), LRRC53 (+236530)
NA_peak_701	TNNI3K (+78778), LRRC53 (+235573)
NA_peak_702	LRRC53 (+141409), TNNI3K (+172942)
NA_peak_703	LRRC53 (+127372), TNNI3K (+186979)
NA_peak_704	LRRC53 (+52772), TNNI3K (+261579)
NA_peak_705	LRRC53 (-178265), TYW3 (-42277)
NA_peak_706	TYW3 (-1711)
NA_peak_707	LHX8 (-335620), CRYZ (-59407)
NA_peak_708	CRYZ (-235497), LHX8 (-159530)
NA_peak_709	LHX8 (+137470), SLC44A5 (+345180)
NA_peak_710	LHX8 (+146766), SLC44A5 (+335884)
NA_peak_711	LHX8 (+151960), SLC44A5 (+330690)
NA_peak_712	LHX8 (+173488), SLC44A5 (+309162)
NA_peak_713	LHX8 (+214221), SLC44A5 (+268429)
NA_peak_714	LHX8 (+214558), SLC44A5 (+268092)
NA_peak_715	SLC44A5 (+187761), LHX8 (+294889)
NA_peak_716	SLC44A5 (+83014), LHX8 (+399636)
NA_peak_717	SLC44A5 (+65399), LHX8 (+417251)
NA_peak_718	SLC44A5 (+8473), LHX8 (+474177)
NA_peak_719	ST6GALNAC3 (-123210), ASB17 (-19078)
NA_peak_720	ST6GALNAC3 (-81658), ASB17 (-60630)
NA_peak_721	ASB17 (-76986), ST6GALNAC3 (-65302)
NA_peak_722	ASB17 (-134278), ST6GALNAC3 (-8010)
NA_peak_723	ST6GALNAC5 (-765638), ST6GALNAC3 (+27084)
NA_peak_724	ST6GALNAC5 (-726937), ST6GALNAC3 (+65785)
NA_peak_725	ST6GALNAC5 (-629109), ST6GALNAC3 (+163613)
NA_peak_726	ST6GALNAC5 (-596351), ST6GALNAC3 (+196371)
NA_peak_727	ST6GALNAC5 (-498612), ST6GALNAC3 (+294110)
NA_peak_728	ST6GALNAC5 (-444956), ST6GALNAC3 (+347766)
NA_peak_729	ST6GALNAC5 (-371714), ST6GALNAC3 (+421008)
NA_peak_730	ST6GALNAC5 (-255481), ST6GALNAC3 (+537241)
NA_peak_731	ST6GALNAC5 (-201453), ST6GALNAC3 (+591269)
NA_peak_732	ST6GALNAC5 (-169621), ST6GALNAC3 (+623101)
NA_peak_733	ST6GALNAC5 (-136898), ST6GALNAC3 (+655824)
NA_peak_734	PIGK (+126884), ST6GALNAC5 (+225101)
NA_peak_735	PIGK (+4591), ST6GALNAC5 (+347394)
NA_peak_736	AK5 (+40314), ZZZ3 (+360293)
NA_peak_737	AK5 (+41839), ZZZ3 (+358768)
NA_peak_738	AK5 (+113048), ZZZ3 (+287559)
NA_peak_739	AK5 (+187134), ZZZ3 (+213473)
NA_peak_740	ZZZ3 (+193801), AK5 (+206806)
NA_peak_741	ZZZ3 (+188369), AK5 (+212238)
NA_peak_742	ZZZ3 (+89642), AK5 (+310965)
NA_peak_743	ZZZ3 (+31821), AK5 (+368786)
NA_peak_744	ZZZ3 (-35605), USP33 (+41589)
NA_peak_745	FAM73A (-431)
NA_peak_746	NEXN (-91285), FAM73A (+17719)
NA_peak_747	NEXN (-19656), FAM73A (+89348)
NA_peak_748	FUBP1 (+18036), NEXN (+72421)
NA_peak_749	PTGFR (-439854), GIPC2 (+5317)
NA_peak_750	PTGFR (-393019), GIPC2 (+52152)
NA_peak_751	PTGFR (-18037), GIPC2 (+427134)
NA_peak_752	ELTD1 (+164830), IFI44 (+192057)
NA_peak_753	ELTD1 (+86965), IFI44 (+269922)
NA_peak_754	ELTD1 (+86504), IFI44 (+270383)
NA_peak_755	ELTD1 (+38131), IFI44 (+318756)
NA_peak_756	ELTD1 (+6198), IFI44 (+350689)
NA_peak_757	ELTD1 (-256011)
NA_peak_758	ELTD1 (-273830)
NA_peak_759	ELTD1 (-324098)
NA_peak_760	ELTD1 (-369002)
NA_peak_761	ELTD1 (-410629)
NA_peak_762	ELTD1 (-492951)
NA_peak_763	ELTD1 (-502014)
NA_peak_764	ELTD1 (-641640)
NA_peak_765	ELTD1 (-724536)
NA_peak_766	NONE
NA_peak_767	NONE
NA_peak_768	NONE
NA_peak_769	NONE
NA_peak_770	NONE
NA_peak_771	NONE
NA_peak_772	NONE
NA_peak_773	NONE
NA_peak_774	NONE
NA_peak_775	NONE
NA_peak_776	NONE
NA_peak_777	NONE
NA_peak_778	NONE
NA_peak_779	NONE
NA_peak_780	LPHN2 (-967537)
NA_peak_781	LPHN2 (-947904)
NA_peak_782	LPHN2 (-941765)
NA_peak_783	LPHN2 (-917695)
NA_peak_784	LPHN2 (-838151)
NA_peak_785	LPHN2 (-779498)
NA_peak_786	LPHN2 (-673094)
NA_peak_787	LPHN2 (-629212)
NA_peak_788	LPHN2 (-577171)
NA_peak_789	LPHN2 (-566313)
NA_peak_790	LPHN2 (-561793)
NA_peak_791	LPHN2 (-559082)
NA_peak_792	LPHN2 (-486560)
NA_peak_793	LPHN2 (-472545)
NA_peak_794	LPHN2 (-465601)
NA_peak_795	LPHN2 (-451265)
NA_peak_796	LPHN2 (-384624)
NA_peak_797	LPHN2 (-363844)
NA_peak_798	LPHN2 (-345967)
NA_peak_799	LPHN2 (-322679)
NA_peak_800	LPHN2 (-289778)
NA_peak_801	LPHN2 (-271648)
NA_peak_802	LPHN2 (-246713)
NA_peak_803	LPHN2 (-133959)
NA_peak_804	LPHN2 (-39689)
NA_peak_805	LPHN2 (+803)
NA_peak_806	LPHN2 (+2050)
NA_peak_807	LPHN2 (+7697)
NA_peak_808	LPHN2 (+8737)
NA_peak_809	LPHN2 (+10082)
NA_peak_810	LPHN2 (+36525)
NA_peak_811	LPHN2 (+99231)
NA_peak_812	LPHN2 (+129132)
NA_peak_813	LPHN2 (+139895)
NA_peak_814	LPHN2 (+144925)
NA_peak_815	LPHN2 (+200539)
NA_peak_816	LPHN2 (+201549)
NA_peak_817	LPHN2 (+227818)
NA_peak_818	LPHN2 (+260340)
NA_peak_819	LPHN2 (+338405)
NA_peak_820	LPHN2 (+361576)
NA_peak_821	LPHN2 (+664207)
NA_peak_822	LPHN2 (+767373)
NA_peak_823	LPHN2 (+780028)
NA_peak_824	LPHN2 (+797180)
NA_peak_825	LPHN2 (+805370)
NA_peak_826	LPHN2 (+961438)
NA_peak_827	LPHN2 (+986545)
NA_peak_828	NONE
NA_peak_829	NONE
NA_peak_830	NONE
NA_peak_831	NONE
NA_peak_832	TTLL7 (+832640)
NA_peak_833	TTLL7 (+798019)
NA_peak_834	TTLL7 (+593104)
NA_peak_835	TTLL7 (+520825)
NA_peak_836	TTLL7 (+419284)
NA_peak_837	TTLL7 (+408231)
NA_peak_838	TTLL7 (+382277)
NA_peak_839	TTLL7 (+381655)
NA_peak_840	TTLL7 (+303833)
NA_peak_841	TTLL7 (+233898)
NA_peak_842	TTLL7 (+229294)
NA_peak_843	TTLL7 (+184938)
NA_peak_844	PRKACB (-123787), TTLL7 (-21352)
NA_peak_845	TTLL7 (-122026), PRKACB (-23113)
NA_peak_846	TTLL7 (-131111), PRKACB (-14028)
NA_peak_847	DNASE2B (-137689), PRKACB (+116572)
NA_peak_848	DNASE2B (-126094), PRKACB (+128167)
NA_peak_849	DNASE2B (-95326), PRKACB (+158935)
NA_peak_850	DNASE2B (-87770), PRKACB (+166491)
NA_peak_851	DNASE2B (-612)
NA_peak_852	RPF1 (-69335), DNASE2B (+11400)
NA_peak_853	RPF1 (-45392), DNASE2B (+35343)
NA_peak_854	RPF1 (-12990), DNASE2B (+67745)
NA_peak_855	RPF1 (-7619), DNASE2B (+73116)
NA_peak_856	GNG5 (+1203), RPF1 (+26095)
NA_peak_857	CTBS (-4967)
NA_peak_858	CTBS (-18725), SSX2IP (+97356)
NA_peak_859	CTBS (-24991), SSX2IP (+91090)
NA_peak_860	CTBS (-45556), SSX2IP (+70525)
NA_peak_861	CTBS (-74667), SSX2IP (+41414)
NA_peak_862	SSX2IP (-59548), LPAR3 (+116066)
NA_peak_863	SSX2IP (-131788), LPAR3 (+43826)
NA_peak_864	SSX2IP (-164401), LPAR3 (+11213)
NA_peak_865	LPAR3 (-25469), MCOLN2 (+105312)
NA_peak_866	LPAR3 (-34174), MCOLN2 (+96607)
NA_peak_867	MCOLN3 (-103296), SYDE2 (+49304)
NA_peak_868	MCOLN3 (-123997), SYDE2 (+28603)
NA_peak_869	SYDE2 (-32387), BCL10 (+43657)
NA_peak_870	BCL10 (-41795), DDAH1 (+146255)
NA_peak_871	BCL10 (-130259), DDAH1 (+57791)
NA_peak_872	BCL10 (-177854), DDAH1 (+10196)
NA_peak_873	CYR61 (-90285), DDAH1 (-25336)
NA_peak_874	DDAH1 (-68946), CYR61 (-46675)
NA_peak_875	ZNHIT6 (+40116), CYR61 (+87541)
NA_peak_876	ZNHIT6 (+10263), CYR61 (+117394)
NA_peak_877	ZNHIT6 (-58134), COL24A1 (+390211)
NA_peak_878	ZNHIT6 (-154380), COL24A1 (+293965)
NA_peak_879	ZNHIT6 (-333535), COL24A1 (+114810)
NA_peak_880	ZNHIT6 (-379984), COL24A1 (+68361)
NA_peak_881	COL24A1 (-61365), ODF2L (+178134)
NA_peak_882	COL24A1 (-104410), ODF2L (+135089)
NA_peak_883	COL24A1 (-204055), ODF2L (+35444)
NA_peak_884	HS2ST1 (-132690), SH3GLB1 (+77089)
NA_peak_885	HS2ST1 (-102877), SH3GLB1 (+106902)
NA_peak_886	ENSG00000267561 (-64669), HS2ST1 (+13666)
NA_peak_887	LMO4 (-224144), ENSG00000267561 (+111315)
NA_peak_888	LMO4 (-218019), ENSG00000267561 (+117440)
NA_peak_889	LMO4 (+34562)
NA_peak_890	LMO4 (+236839)
NA_peak_891	LMO4 (+321595)
NA_peak_892	LMO4 (+337611)
NA_peak_893	PKN2 (-994401), LMO4 (+361353)
NA_peak_894	PKN2 (-612365), LMO4 (+743389)
NA_peak_895	PKN2 (-566460), LMO4 (+789294)
NA_peak_896	PKN2 (-558226), LMO4 (+797528)
NA_peak_897	PKN2 (-509035), LMO4 (+846719)
NA_peak_898	PKN2 (+38600), GTF2B (+168796)
NA_peak_899	GTF2B (+53155), PKN2 (+154241)
NA_peak_900	GTF2B (+14123), PKN2 (+193273)
NA_peak_901	GTF2B (+623)
NA_peak_902	GBP2 (-27169), GBP7 (+22757)
NA_peak_903	LRRC8C (-79698), LRRC8B (+28471)
NA_peak_904	LRRC8C (-824)
NA_peak_905	LRRC8D (-124491), LRRC8C (+63469)
NA_peak_906	LRRC8D (-29741), LRRC8C (+158219)
NA_peak_907	ZNF326 (+107431), BARHL2 (+614689)
NA_peak_908	ZNF326 (+216605), BARHL2 (+505515)
NA_peak_909	ZNF326 (+267645), BARHL2 (+454475)
NA_peak_910	ZNF326 (+268592), BARHL2 (+453528)
NA_peak_911	ZNF326 (+318254), BARHL2 (+403866)
NA_peak_912	BARHL2 (+215762), ZNF326 (+506358)
NA_peak_913	BARHL2 (+168338), ZNF326 (+553782)
NA_peak_914	BARHL2 (+1796), ZNF326 (+720324)
NA_peak_915	BARHL2 (-34)
NA_peak_916	BARHL2 (-7824), ZNF644 (+296412)
NA_peak_917	BARHL2 (-13493), ZNF644 (+290743)
NA_peak_918	BARHL2 (-31683), ZNF644 (+272553)
NA_peak_919	BARHL2 (-139551), ZNF644 (+164685)
NA_peak_920	BARHL2 (-173948), ZNF644 (+130288)
NA_peak_921	BARHL2 (-195212), ZNF644 (+109024)
NA_peak_922	BARHL2 (-208096), ZNF644 (+96140)
NA_peak_923	BARHL2 (-218866), ZNF644 (+85370)
NA_peak_924	BARHL2 (-270077), ZNF644 (+34159)
NA_peak_925	ZNF644 (-365930), HFM1 (+17466)
NA_peak_926	CDC7 (-71608), HFM1 (-24631)
NA_peak_927	CDC7 (+25502), TGFBR3 (+359620)
NA_peak_928	CDC7 (+35536), TGFBR3 (+349586)
NA_peak_929	CDC7 (+74182), TGFBR3 (+310940)
NA_peak_930	CDC7 (+80137), TGFBR3 (+304985)
NA_peak_931	TGFBR3 (+119156), CDC7 (+265966)
NA_peak_932	TGFBR3 (+66622), CDC7 (+318500)
NA_peak_933	TGFBR3 (+58358), CDC7 (+326764)
NA_peak_934	BRDT (-36994), TGFBR3 (-26147)
NA_peak_935	BRDT (-32433), TGFBR3 (-30708)
NA_peak_936	EPHX4 (-60310), BRDT (+20301)
NA_peak_937	EPHX4 (-47546), BRDT (+33065)
NA_peak_938	BTBD8 (-40947), EPHX4 (+9407)
NA_peak_939	GLMN (-19784), GFI1 (+165194)
NA_peak_940	GLMN (-143115), GFI1 (+41863)
NA_peak_941	GFI1 (-103938), EVI5 (+204512)
NA_peak_942	GFI1 (-108734), EVI5 (+199716)
NA_peak_943	GFI1 (-138521), EVI5 (+169929)
NA_peak_944	GFI1 (-266351), EVI5 (+42099)
NA_peak_945	GFI1 (-274534), EVI5 (+33916)
NA_peak_946	RPL5 (+55300), FAM69A (+74175)
NA_peak_947	FAM69A (+1065), RPL5 (+128410)
NA_peak_948	FAM69A (-74158), MTF2 (-43580)
NA_peak_949	FAM69A (-94858), MTF2 (-22880)
NA_peak_950	MTF2 (+50438), TMED5 (+51052)
NA_peak_951	TMED5 (+11161), MTF2 (+90329)
NA_peak_952	TMED5 (-97092), DR1 (-68068)
NA_peak_953	FNBP1L (-100232), DR1 (+2011)
NA_peak_954	FNBP1L (-18360), DR1 (+83883)
NA_peak_955	FNBP1L (-10007), DR1 (+92236)
NA_peak_956	FNBP1L (-5975), DR1 (+96268)
NA_peak_957	FNBP1L (+80641), BCAR3 (+318377)
NA_peak_958	FNBP1L (+110785), BCAR3 (+288233)
NA_peak_959	FNBP1L (+170288), BCAR3 (+228730)
NA_peak_960	BCAR3 (+133531), FNBP1L (+265487)
NA_peak_961	DNTTIP2 (-26744), GCLM (+3460)
NA_peak_962	GCLM (-134923), ABCA4 (+76799)
NA_peak_963	ABCA4 (-110607), ARHGAP29 (+5826)
NA_peak_964	ABCD3 (-165632), ARHGAP29 (-15258)
NA_peak_965	ABCD3 (-164253), ARHGAP29 (-16637)
NA_peak_966	ABCD3 (-107819), ARHGAP29 (-73071)
NA_peak_967	ABCD3 (-96326), ARHGAP29 (-84564)
NA_peak_968	ABCD3 (-95857), ARHGAP29 (-85033)
NA_peak_969	ARHGAP29 (-141335), ABCD3 (-39555)
NA_peak_970	ARHGAP29 (-146876), ABCD3 (-34014)
NA_peak_971	SLC44A3 (-229431), F3 (-49119)
NA_peak_972	SLC44A3 (-224144), F3 (-54406)
NA_peak_973	F3 (-149711), SLC44A3 (-128839)
NA_peak_974	F3 (-156830), SLC44A3 (-121720)
NA_peak_975	F3 (-217609), SLC44A3 (-60941)
NA_peak_976	F3 (-261667), SLC44A3 (-16883)
NA_peak_977	F3 (-264100), SLC44A3 (-14450)
NA_peak_978	CNN3 (+29772), SLC44A3 (+77156)
NA_peak_979	CNN3 (+7822), SLC44A3 (+99106)
NA_peak_980	CNN3 (-86923), ALG14 (+58744)
NA_peak_981	CNN3 (-132648), ALG14 (+13019)
NA_peak_982	CNN3 (-142384), ALG14 (+3283)
NA_peak_983	TMEM56 (-33076), ALG14 (-11317)
NA_peak_984	RWDD3 (-110846), ENSG00000271092 (+5386)
NA_peak_985	RWDD3 (-92159), ENSG00000271092 (+24073)
NA_peak_986	RWDD3 (-60338), ENSG00000271092 (+55894)
NA_peak_987	RWDD3 (-42832), ENSG00000271092 (+73400)
